"molecule","compound"
"ACT12_M_91368","phosalone"
"ACT12_M_91369","phosmet"
"ACT12_M_91371","phostin"
"ACT12_M_91378","phoxim"
"ACT12_M_91382","pirimiphos-methyl"
"ACT12_M_91388","prothidathion"
"ACT12_M_91389","prothoate"
"ACT12_M_91390","pyrimitate"
"ACT12_M_91391","quinalphos"
"ACT12_M_91392","quintiofos"
"ACT12_M_91393","sophamide"
"ACT12_M_91394","sulfotep"
"ACT12_M_91405","thiometon"
"ACT12_M_91406","triazophos"
"ACT12_M_91409","trifenofos"
"ACT12_M_91418","vamidothion"
"ACT12_M_91439","phosphonate acaricides"
"ACT12_M_91440","trichlorfon"
"ACT12_M_91441","phosphoramidothioate acaricides"
"ACT12_M_91442","isocarbophos"
"ACT12_M_91455","methamidophos"
"ACT12_M_91458","propetamphos"
"ACT12_M_91459","phosphorodiamide acaricides"
"ACT12_M_91460","dimefox"
"ACT12_M_91462","mipafox"
"ACT12_M_91465","schradan"
"ACT12_M_91523","organotin acaricides"
"ACT12_M_91525","azocyclotin"
"ACT12_M_91526","cyhexatin"
"ACT12_M_91542","fenbutatin oxide"
"ACT12_M_91545","phostin"
"ACT12_M_91553","phenylsulfamide acaricides"
"ACT12_M_91554","dichlofluanid"
"ACT12_M_91563","phthalimide acaricides"
"ACT12_M_91573","dialifos"
"ACT12_M_91574","phosmet"
"ACT12_M_91586","pyrazole acaricides"
"ACT12_M_91588","cyenopyrafen"
"ACT12_M_91590","cyetpyrafen"
"ACT12_M_91594","fenpyroximate"
"ACT12_M_91595","phenylpyrazole acaricides"
"ACT12_M_91598","acetoprole"
"ACT12_M_91600","fipronil"
"ACT12_M_91601","vaniliprole"
"ACT12_M_91615","pyrazolecarboxamide acaricides"
"ACT12_M_91616","pyflubumide"
"ACT12_M_91617","tebufenpyrad"
"ACT12_M_91618","pyrethroid acaricides"
"ACT12_M_91649","pyrethroid ester acaricides"
"ACT12_M_91706","acrinathrin"
"ACT12_M_91727","bifenthrin"
"ACT12_M_91739","brofluthrinate"
"ACT12_M_91742","cyhalothrin"
"ACT12_M_91744","cypermethrin"
"ACT12_M_91746","alpha-cypermethrin"
"ACT12_M_91747","fenpropathrin"
"ACT12_M_91750","fenvalerate"
"ACT12_M_91751","flucythrinate"
"ACT12_M_91752","flumethrin"
"ACT12_M_91760","fluvalinate"
"ACT12_M_91763","tau-fluvalinate"
"ACT12_M_91764","permethrin"
"ACT12_M_91766","pyrethroid ether acaricides"
"ACT12_M_91770","halfenprox"
"ACT12_M_91828","pyrimidinamine acaricides"
"ACT12_M_91834","pyrimidifen"
"ACT12_M_91835","pyrrole acaricides"
"ACT12_M_91836","chlorfenapyr"
"ACT12_M_91837","quaternary ammonium acaricides"
"ACT12_M_91838","sanguinarine"
"ACT12_M_91845","quinoxaline acaricides"
"ACT12_M_91864","chinomethionat"
"ACT12_M_91867","thioquinox"
"ACT12_M_91877","strobilurin acaricides"
"ACT12_M_91884","methoxyacrylate strobilurin acaricides"
"ACT12_M_91886","bifujunzhi"
"ACT12_M_91887","fluacrypyrim"
"ACT12_M_91888","flufenoxystrobin"
"ACT12_M_91895","pyriminostrobin"
"ACT12_M_91906","sulfite ester acaricides"
"ACT12_M_91908","aramite"
"ACT12_M_91910","propargite"
"ACT12_M_91911","tetronic acid acaricides"
"ACT12_M_91912","spirodiclofen"
"ACT12_M_91916","spiromesifen"
"ACT12_M_91933","tetrazine acaricides"
"ACT12_M_91935","clofentezine"
"ACT12_M_92070","diflovidazin"
"ACT12_M_92104","thiazolidine acaricides"
"ACT12_M_92108","flubenzimine"
"ACT12_M_92109","hexythiazox"
"ACT12_M_92110","thiocarbamate acaricides"
"ACT12_M_92115","fenothiocarb"
"ACT12_M_92116","thiourea acaricides"
"ACT12_M_92126","chloromethiuron"
"ACT12_M_92130","diafenthiuron"
"ACT12_M_92139","unclassified acaricides"
"ACT12_M_92164","acequinocyl"
"ACT12_M_92190","acynonapyr"
"ACT12_M_92240","amidoflumet"
"ACT12_M_92241","arsenous oxide"
"ACT12_M_92245","clenpirin"
"ACT12_M_92246","closantel"
"ACT12_M_92248","crotamiton"
"ACT12_M_92249","cycloprate"
"ACT12_M_92296","cymiazole"
"ACT12_M_92302","disulfiram"
"ACT12_M_92309","etoxazole"
"ACT12_M_92333","fenazaflor"
"ACT12_M_92345","fenazaquin"
"ACT12_M_92346","fluenetil"
"ACT12_M_92387","flupentiofenox"
"ACT12_M_92388","mesulfen"
"ACT12_M_92393","MNAF"
"ACT12_M_92395","nifluridide"
"ACT12_M_92397","nikkomycins"
"ACT12_M_92402","pyridaben"
"ACT12_M_92408","sulfiram"
"ACT12_M_92439","sulfluramid"
"ACT12_M_92492","sulfur"
"ACT12_M_92505","thuringiensin"
"ACT12_M_92509","triarathene"
"ACT12_M_92511","azobenzene"
"ACT12_M_92512","benzoximate"
"ACT12_M_92514","benzyl benzoate"
"ACT12_M_92515","bromopropylate"
"ACT12_M_92516","chlorbenside"
"ACT12_M_92517","chlorfenethol"
"ACT12_M_92529","chlorfenson"
"ACT12_M_92530","chlorfensulphide"
"ACT12_M_92537","chlorobenzilate"
"ACT12_M_92538","chloropropylate"
"ACT12_M_92542","cyflumetofen"
"ACT12_M_92549","DDT"
"ACT12_M_92550","dicofol"
"ACT12_M_92551","diphenyl sulfone"
"ACT12_M_92552","dofenapyn"
"ACT12_M_92553","fenson"
"ACT12_M_92561","fentrifanil"
"ACT12_M_92568","fluorbenside"
"ACT12_M_92569","genit"
"ACT12_M_92572","hexachlorophene"
"ACT12_M_92574","phenproxide"
"ACT12_M_92581","proclonol"
"ACT12_M_92604","tetradifon"
"ACT12_M_92605","tetrasul"
"ACT12_M_92609","oxime carbamate acaricides"
"ACT12_M_92613","aldicarb"
"ACT12_M_92616","butocarboxim"
"ACT12_M_92619","oxamyl"
"ACT12_M_92621","thiocarboxime"
"ACT12_M_92655","thiofanox"
"ACT12_M_92668","carbazate acaricides"
"ACT12_M_92669","bifenazate"
"ACT12_M_92670","dinitrophenol acaricides"
"ACT12_M_92671","binapacryl"
"ACT12_M_92675","dinex"
"ACT12_M_92677","dinobuton"
"ACT12_M_92688","dinocap"
"ACT12_M_92689","dinocap-4"
"ACT12_M_92691","dinocap-6"
"ACT12_M_92692","dinocton"
"ACT12_M_92693","dinopenton"
"ACT12_M_92699","dinosulfon"
"ACT12_M_92701","dinoterbon"
"ACT12_M_92729","DNOC"
"ACT12_M_92765","formamidine acaricides"
"ACT12_M_92790","amitraz"
"ACT12_M_92844","chlordimeform"
"ACT12_M_92845","chloromebuform"
"ACT12_M_92847","formetanate"
"ACT12_M_92852","formparanate"
"ACT12_M_92853","medimeform"
"ACT12_M_92876","semiamitraz"
"ACT12_M_92881","isoxazoline acaricides"
"ACT12_M_92889","afoxolaner"
"ACT12_M_92896","esafoxolaner"
"ACT12_M_92898","fluralaner"
"ACT12_M_92917","lotilaner"
"ACT12_M_92954","sarolaner"
"ACT12_M_92959","tigolaner"
"ACT12_M_92960","macrocyclic lactone acaricides"
"ACT12_M_92961","tetranactin"
"ACT12_M_92964","avermectin acaricides"
"ACT12_M_92965","abamectin"
"ACT12_M_92968","doramectin"
"ACT12_M_92971","eprinomectin"
"ACT12_M_92987","ivermectin"
"ACT12_M_92988","selamectin"
"ACT12_M_92989","milbemycin acaricides"
"ACT12_M_92992","milbemectin"
"ACT12_M_92993","milbemycin oxime"
"ACT12_M_92994","moxidectin"
"ACT12_M_92995","mite growth regulators"
"ACT12_M_92996","clofentezine"
"ACT12_M_92997","cyromazine"
"ACT12_M_92998","diflovidazin"
"ACT12_M_92999","dofenapyn"
"ACT12_M_93001","fluazuron"
"ACT12_M_93004","flubenzimine"
"ACT12_M_93006","flucycloxuron"
"ACT12_M_93007","flufenoxuron"
"ACT12_M_93008","hexythiazox"
"ACT12_M_93009","organochlorine acaricides"
"ACT12_M_93011","bromocyclen"
"ACT12_M_93018","camphechlor"
"ACT12_M_93021","DDT"
"ACT12_M_93022","dienochlor"
"ACT12_M_93027","endosulfan"
"ACT12_M_93028","lindane"
"ACT12_M_93033","organophosphorus acaricides"
"ACT12_M_93041","organophosphate acaricides"
"ACT12_M_93042","chlorfenvinphos"
"ACT12_M_93043","crotoxyphos"
"ACT12_M_93047","dichlorvos"
"ACT12_M_93050","heptenophos"
"ACT12_M_93051","mevinphos"
"ACT12_M_93054","monocrotophos"
"ACT12_M_93068","naled"
"ACT12_M_93069","TEPP"
"ACT12_M_93071","tetrachlorvinphos"
"ACT12_M_93184","organothiophosphate acaricides"
"ACT12_M_93185","amidithion"
"ACT12_M_93187","amiton"
"ACT12_M_93203","azinphos-ethyl"
"ACT12_M_93204","azinphos-methyl"
"ACT12_M_93216","azothoate"
"ACT12_M_93218","benoxafos"
"ACT12_M_93220","bromophos"
"ACT12_M_93235","bromophos-ethyl"
"ACT12_M_93237","carbophenothion"
"ACT12_M_93238","chlorpyrifos"
"ACT12_M_93239","chlorthiophos"
"ACT12_M_93250","coumaphos"
"ACT12_M_93253","cyanthoate"
"ACT12_M_93261","demeton"
"ACT12_M_93264","demeton-O"
"ACT12_M_93266","demeton-S"
"ACT12_M_93268","demeton-methyl"
"ACT12_M_93271","demeton-O-methyl"
"ACT12_M_93275","demeton-S-methyl"
"ACT12_M_93280","demeton-S-methylsulphon"
"ACT12_M_93282","dialifos"
"ACT12_M_93283","diazinon"
"ACT12_M_93286","dimethoate"
"ACT12_M_93287","dioxathion"
"ACT12_M_93351","disulfoton"
"ACT12_M_93366","endothion"
"ACT12_M_93393","ethion"
"ACT12_M_93394","ethoate-methyl"
"ACT12_M_93402","formothion"
"ACT12_M_93404","malathion"
"ACT12_M_93423","mecarbam"
"ACT12_M_93435","methacrifos"
"ACT12_M_93436","omethoate"
"ACT12_M_93448","oxydeprofos"
"ACT12_M_93474","oxydisulfoton"
"ACT12_M_93479","parathion"
"ACT12_M_93481","phenkapton"
"ACT12_M_93482","phorate"
"ACT12_M_93492","phosalone"
"ACT12_M_93493","phosmet"
"ACT12_M_93494","phostin"
"ACT12_M_93495","phoxim"
"ACT12_M_93498","pirimiphos-methyl"
"ACT12_M_93499","prothidathion"
"ACT12_M_93515","prothoate"
"ACT12_M_93517","pyrimitate"
"ACT12_M_93519","quinalphos"
"ACT12_M_93520","quintiofos"
"ACT12_M_93534","sophamide"
"ACT12_M_93535","sulfotep"
"ACT12_M_93536","thiometon"
"ACT12_M_93537","triazophos"
"ACT12_M_93538","trifenofos"
"ACT12_M_93540","vamidothion"
"ACT12_M_93544","phosphonate acaricides"
"ACT12_M_93545","trichlorfon"
"ACT12_M_93546","phosphoramidothioate acaricides"
"ACT12_M_93549","isocarbophos"
"ACT12_M_93551","methamidophos"
"ACT12_M_93554","propetamphos"
"ACT12_M_93568","phosphorodiamide acaricides"
"ACT12_M_93577","dimefox"
"ACT12_M_93587","mipafox"
"ACT12_M_93588","schradan"
"ACT12_M_93589","organotin acaricides"
"ACT12_M_93602","azocyclotin"
"ACT12_M_93603","cyhexatin"
"ACT12_M_93604","fenbutatin oxide"
"ACT12_M_93606","phostin"
"ACT12_M_93617","phenylsulfamide acaricides"
"ACT12_M_93624","dichlofluanid"
"ACT12_M_93635","phthalimide acaricides"
"ACT12_M_93638","dialifos"
"ACT12_M_93639","phosmet"
"ACT12_M_93678","pyrazole acaricides"
"ACT12_M_93680","cyenopyrafen"
"ACT12_M_93684","cyetpyrafen"
"ACT12_M_93685","fenpyroximate"
"ACT12_M_93688","phenylpyrazole acaricides"
"ACT12_M_93689","acetoprole"
"ACT12_M_93692","fipronil"
"ACT12_M_93694","vaniliprole"
"ACT12_M_93770","pyrazolecarboxamide acaricides"
"ACT12_M_93821","pyflubumide"
"ACT12_M_93823","tebufenpyrad"
"ACT12_M_93865","pyrethroid acaricides"
"ACT12_M_93869","pyrethroid ester acaricides"
"ACT12_M_93890","acrinathrin"
"ACT12_M_93901","bifenthrin"
"ACT12_M_93903","brofluthrinate"
"ACT12_M_93904","cyhalothrin"
"ACT12_M_93911","cypermethrin"
"ACT12_M_93912","alpha-cypermethrin"
"ACT12_M_93922","fenpropathrin"
"ACT12_M_93939","fenvalerate"
"ACT12_M_93940","flucythrinate"
"ACT12_M_93941","flumethrin"
"ACT12_M_93953","fluvalinate"
"ACT12_M_93958","tau-fluvalinate"
"ACT12_M_93959","permethrin"
"ACT12_M_93960","pyrethroid ether acaricides"
"ACT12_M_93961","halfenprox"
"ACT12_M_93964","pyrimidinamine acaricides"
"ACT12_M_93965","pyrimidifen"
"ACT12_M_93966","pyrrole acaricides"
"ACT12_M_94027","chlorfenapyr"
"ACT12_M_94031","quaternary ammonium acaricides"
"ACT12_M_94037","sanguinarine"
"ACT12_M_94038","quinoxaline acaricides"
"ACT12_M_94047","chinomethionat"
"ACT12_M_94050","thioquinox"
"ACT12_M_94054","strobilurin acaricides"
"ACT12_M_94056","methoxyacrylate strobilurin acaricides"
"ACT12_M_94057","bifujunzhi"
"ACT12_M_94059","fluacrypyrim"
"ACT12_M_94064","flufenoxystrobin"
"ACT12_M_94066","pyriminostrobin"
"ACT12_M_94069","sulfite ester acaricides"
"ACT12_M_94070","aramite"
"ACT12_M_94071","propargite"
"ACT12_M_94074","tetronic acid acaricides"
"ACT12_M_94075","spirodiclofen"
"ACT12_M_94076","spiromesifen"
"ACT12_M_94100","tetrazine acaricides"
"ACT12_M_94102","clofentezine"
"ACT12_M_94135","diflovidazin"
"ACT12_M_94138","thiazolidine acaricides"
"ACT12_M_94145","flubenzimine"
"ACT12_M_94151","hexythiazox"
"ACT12_M_94170","thiocarbamate acaricides"
"ACT12_M_94171","fenothiocarb"
"ACT12_M_94180","thiourea acaricides"
"ACT12_M_94207","chloromethiuron"
"ACT12_M_94247","diafenthiuron"
"ACT12_M_94248","unclassified acaricides"
"ACT12_M_94249","acequinocyl"
"ACT12_M_94250","acynonapyr"
"ACT12_M_94251","amidoflumet"
"ACT12_M_94252","arsenous oxide"
"ACT12_M_94253","clenpirin"
"ACT12_M_94255","closantel"
"ACT12_M_94256","crotamiton"
"ACT12_M_94261","cycloprate"
"ACT12_M_94262","cymiazole"
"ACT12_M_94263","disulfiram"
"ACT12_M_94264","etoxazole"
"ACT12_M_94271","fenazaflor"
"ACT12_M_94275","fenazaquin"
"ACT12_M_94277","fluenetil"
"ACT12_M_94284","flupentiofenox"
"ACT12_M_94287","mesulfen"
"ACT12_M_94301","MNAF"
"ACT12_M_94308","nifluridide"
"ACT12_M_94309","nikkomycins"
"ACT12_M_94311","pyridaben"
"ACT12_M_94313","sulfiram"
"ACT12_M_94320","sulfluramid"
"ACT12_M_94323","sulfur"
"ACT12_M_94324","thuringiensin"
"ACT12_M_94356","triarathene"
"ACT12_M_94357","azobenzene"
"ACT12_M_94358","benzoximate"
"ACT12_M_94381","benzyl benzoate"
"ACT12_M_94490","bromopropylate"
"ACT12_M_94494","chlorbenside"
"ACT12_M_94495","chlorfenethol"
"ACT12_M_94496","chlorfenson"
"ACT12_M_94500","chlorfensulphide"
"ACT12_M_94521","chlorobenzilate"
"ACT12_M_94535","chloropropylate"
"ACT12_M_94537","cyflumetofen"
"ACT12_M_94561","DDT"
"ACT12_M_94562","dicofol"
"ACT12_M_94563","diphenyl sulfone"
"ACT12_M_94564","dofenapyn"
"ACT12_M_94565","fenson"
"ACT12_M_94566","fentrifanil"
"ACT12_M_94573","fluorbenside"
"ACT12_M_94574","genit"
"ACT12_M_94583","hexachlorophene"
"ACT12_M_94586","phenproxide"
"ACT12_M_94590","proclonol"
"ACT12_M_94668","tetradifon"
"ACT12_M_94672","tetrasul"
"ACT12_M_94691","oxime carbamate acaricides"
"ACT12_M_94695","aldicarb"
"ACT12_M_94700","butocarboxim"
"ACT12_M_94706","oxamyl"
"ACT12_M_94708","thiocarboxime"
"ACT12_M_94709","thiofanox"
"ACT12_M_94711","carbazate acaricides"
"ACT12_M_94725","bifenazate"
"ACT12_M_94726","dinitrophenol acaricides"
"ACT12_M_94727","binapacryl"
"ACT12_M_94737","dinex"
"ACT12_M_94750","dinobuton"
"ACT12_M_94757","dinocap"
"ACT12_M_94759","dinocap-4"
"ACT12_M_94760","dinocap-6"
"ACT12_M_94769","dinocton"
"ACT12_M_94770","dinopenton"
"ACT12_M_94782","dinosulfon"
"ACT12_M_94783","dinoterbon"
"ACT12_M_94784","DNOC"
"ACT12_M_94846","formamidine acaricides"
"ACT12_M_94855","amitraz"
"ACT12_M_94856","chlordimeform"
"ACT12_M_94858","chloromebuform"
"ACT12_M_94859","formetanate"
"ACT12_M_94860","formparanate"
"ACT12_M_94861","medimeform"
"ACT12_M_94862","semiamitraz"
"ACT12_M_94863","isoxazoline acaricides"
"ACT12_M_94864","afoxolaner"
"ACT12_M_94879","esafoxolaner"
"ACT12_M_94881","fluralaner"
"ACT12_M_94883","lotilaner"
"ACT12_M_94887","sarolaner"
"ACT12_M_94888","tigolaner"
"ACT12_M_94890","macrocyclic lactone acaricides"
"ACT12_M_94919","tetranactin"
"ACT12_M_94935","avermectin acaricides"
"ACT12_M_94959","abamectin"
"ACT12_M_94964","doramectin"
"ACT12_M_94966","eprinomectin"
"ACT12_M_94968","ivermectin"
"ACT12_M_94972","selamectin"
"ACT12_M_94973","milbemycin acaricides"
"ACT12_M_94981","milbemectin"
"ACT12_M_94983","milbemycin oxime"
"ACT12_M_95006","moxidectin"
"ACT12_M_95008","mite growth regulators"
"ACT12_M_95009","clofentezine"
"ACT12_M_95010","cyromazine"
"ACT12_M_95011","diflovidazin"
"ACT12_M_95012","dofenapyn"
"ACT12_M_95013","fluazuron"
"ACT12_M_95102","flubenzimine"
"ACT12_M_95110","flucycloxuron"
"ACT12_M_95125","flufenoxuron"
"ACT12_M_95141","hexythiazox"
"ACT12_M_95142","organochlorine acaricides"
"ACT12_M_95143","bromocyclen"
"ACT12_M_95184","camphechlor"
"ACT12_M_95185","DDT"
"ACT12_M_95205","dienochlor"
"ACT12_M_95214","endosulfan"
"ACT12_M_95216","lindane"
"ACT12_M_95220","organophosphorus acaricides"
"ACT12_M_95221","organophosphate acaricides"
"ACT12_M_95224","chlorfenvinphos"
"ACT12_M_95229","crotoxyphos"
"ACT12_M_95231","dichlorvos"
"ACT12_M_95235","heptenophos"
"ACT12_M_95237","mevinphos"
"ACT12_M_95238","monocrotophos"
"ACT12_M_95246","naled"
"ACT12_M_95249","TEPP"
"ACT12_M_95251","tetrachlorvinphos"
"ACT12_M_95256","organothiophosphate acaricides"
"ACT12_M_95257","amidithion"
"ACT12_M_95261","amiton"
"ACT12_M_95262","azinphos-ethyl"
"ACT12_M_95263","azinphos-methyl"
"ACT12_M_95264","azothoate"
"ACT12_M_95271","benoxafos"
"ACT12_M_95275","bromophos"
"ACT12_M_95276","bromophos-ethyl"
"ACT12_M_95279","carbophenothion"
"ACT12_M_95281","chlorpyrifos"
"ACT12_M_95282","chlorthiophos"
"ACT12_M_95283","coumaphos"
"ACT12_M_95284","cyanthoate"
"ACT12_M_95285","demeton"
"ACT12_M_95358","demeton-O"
"ACT12_M_95359","demeton-S"
"ACT12_M_95360","demeton-methyl"
"ACT12_M_95365","demeton-O-methyl"
"ACT12_M_95366","demeton-S-methyl"
"ACT12_M_95367","demeton-S-methylsulphon"
"ACT12_M_95368","dialifos"
"ACT12_M_95369","diazinon"
"ACT12_M_95370","dimethoate"
"ACT12_M_95383","dioxathion"
"ACT12_M_95384","disulfoton"
"ACT12_M_95385","endothion"
"ACT12_M_95386","ethion"
"ACT12_M_95387","ethoate-methyl"
"ACT12_M_95409","formothion"
"ACT12_M_95410","malathion"
"ACT12_M_95411","mecarbam"
"ACT12_M_95437","methacrifos"
"ACT12_M_95449","omethoate"
"ACT12_M_95451","oxydeprofos"
"ACT12_M_95452","oxydisulfoton"
"ACT12_M_95455","parathion"
"ACT12_M_95459","phenkapton"
"ACT12_M_95478","phorate"
"ACT12_M_95488","phosalone"
"ACT12_M_95518","phosmet"
"ACT12_M_95523","phostin"
"ACT12_M_95526","phoxim"
"ACT12_M_95532","pirimiphos-methyl"
"ACT12_M_95533","prothidathion"
"ACT12_M_95539","prothoate"
"ACT12_M_95540","pyrimitate"
"ACT12_M_95541","quinalphos"
"ACT12_M_95549","quintiofos"
"ACT12_M_95556","sophamide"
"ACT12_M_95557","sulfotep"
"ACT12_M_95561","thiometon"
"ACT12_M_95626","triazophos"
"ACT12_M_95627","trifenofos"
"ACT12_M_95661","vamidothion"
"ACT12_M_95662","phosphonate acaricides"
"ACT12_M_95663","trichlorfon"
"ACT12_M_95664","phosphoramidothioate acaricides"
"ACT12_M_95668","isocarbophos"
"ACT12_M_95669","methamidophos"
"ACT12_M_95670","propetamphos"
"ACT12_M_95675","phosphorodiamide acaricides"
"ACT12_M_95687","dimefox"
"ACT12_M_95703","mipafox"
"ACT12_M_95706","schradan"
"ACT12_M_95707","organotin acaricides"
"ACT12_M_95710","azocyclotin"
"ACT12_M_95713","cyhexatin"
"ACT12_M_95718","fenbutatin oxide"
"ACT12_M_95728","phostin"
"ACT12_M_95741","phenylsulfamide acaricides"
"ACT12_M_95771","dichlofluanid"
"ACT12_M_95773","phthalimide acaricides"
"ACT12_M_95774","dialifos"
"ACT12_M_95784","phosmet"
"ACT12_M_95796","pyrazole acaricides"
"ACT12_M_95818","cyenopyrafen"
"ACT12_M_95819","cyetpyrafen"
"ACT12_M_95838","fenpyroximate"
"ACT12_M_95862","phenylpyrazole acaricides"
"ACT12_M_95886","acetoprole"
"ACT12_M_95893","fipronil"
"ACT12_M_95947","vaniliprole"
"ACT12_M_95948","pyrazolecarboxamide acaricides"
"ACT12_M_95950","pyflubumide"
"ACT12_M_95951","tebufenpyrad"
"ACT12_M_95953","pyrethroid acaricides"
"ACT12_M_95957","pyrethroid ester acaricides"
"ACT12_M_95960","acrinathrin"
"ACT12_M_95962","bifenthrin"
"ACT12_M_95976","brofluthrinate"
"ACT12_M_95978","cyhalothrin"
"ACT12_M_95979","cypermethrin"
"ACT12_M_95981","alpha-cypermethrin"
"ACT12_M_95993","fenpropathrin"
"ACT12_M_95994","fenvalerate"
"ACT12_M_95995","flucythrinate"
"ACT12_M_95998","flumethrin"
"ACT12_M_95999","fluvalinate"
"ACT12_M_96000","tau-fluvalinate"
"ACT12_M_96008","permethrin"
"ACT12_M_96010","pyrethroid ether acaricides"
"ACT12_M_96011","halfenprox"
"ACT12_M_96012","pyrimidinamine acaricides"
"ACT12_M_96014","pyrimidifen"
"ACT12_M_96016","pyrrole acaricides"
"ACT12_M_96019","chlorfenapyr"
"ACT12_M_96031","quaternary ammonium acaricides"
"ACT12_M_96032","sanguinarine"
"ACT12_M_96036","quinoxaline acaricides"
"ACT12_M_96038","chinomethionat"
"ACT12_M_96039","thioquinox"
"ACT12_M_96049","strobilurin acaricides"
"ACT12_M_96058","methoxyacrylate strobilurin acaricides"
"ACT12_M_96065","bifujunzhi"
"ACT12_M_96067","fluacrypyrim"
"ACT12_M_96072","flufenoxystrobin"
"ACT12_M_96074","pyriminostrobin"
"ACT12_M_96085","sulfite ester acaricides"
"ACT12_M_96086","aramite"
"ACT12_M_96098","propargite"
"ACT12_M_96099","tetronic acid acaricides"
"ACT12_M_96100","spirodiclofen"
"ACT12_M_96101","spiromesifen"
"ACT12_M_96102","tetrazine acaricides"
"ACT12_M_96103","clofentezine"
"ACT12_M_96104","diflovidazin"
"ACT12_M_96105","thiazolidine acaricides"
"ACT12_M_96106","flubenzimine"
"ACT12_M_96205","hexythiazox"
"ACT12_M_96216","thiocarbamate acaricides"
"ACT12_M_96268","fenothiocarb"
"ACT12_M_96272","thiourea acaricides"
"ACT12_M_96273","chloromethiuron"
"ACT12_M_96281","diafenthiuron"
"ACT12_M_96282","unclassified acaricides"
"ACT12_M_96316","acequinocyl"
"ACT12_M_96320","acynonapyr"
"ACT12_M_96321","amidoflumet"
"ACT12_M_96323","arsenous oxide"
"ACT12_M_96337","clenpirin"
"ACT12_M_96341","closantel"
"ACT12_M_96343","crotamiton"
"ACT12_M_96349","cycloprate"
"ACT12_M_96353","cymiazole"
"ACT12_M_96354","disulfiram"
"ACT12_M_96414","etoxazole"
"ACT12_M_96435","fenazaflor"
"ACT12_M_96484","fenazaquin"
"ACT12_M_96500","fluenetil"
"ACT12_M_96504","flupentiofenox"
"ACT12_M_96519","mesulfen"
"ACT12_M_96521","MNAF"
"ACT12_M_96522","nifluridide"
"ACT12_M_96527","nikkomycins"
"ACT12_M_96539","pyridaben"
"ACT12_M_96542","sulfiram"
"ACT12_M_96545","sulfluramid"
"ACT12_M_96550","sulfur"
"ACT12_M_96551","thuringiensin"
"ACT12_M_96552","triarathene"
"ACT12_M_96554","azobenzene"
"ACT12_M_96593","benzoximate"
"ACT12_M_96594","benzyl benzoate"
"ACT12_M_96595","bromopropylate"
"ACT12_M_96664","chlorbenside"
"ACT12_M_96665","chlorfenethol"
"ACT12_M_96666","chlorfenson"
"ACT12_M_96671","chlorfensulphide"
"ACT12_M_96672","chlorobenzilate"
"ACT12_M_96675","chloropropylate"
"ACT12_M_96676","cyflumetofen"
"ACT12_M_96687","DDT"
"ACT12_M_96691","dicofol"
"ACT12_M_96694","diphenyl sulfone"
"ACT12_M_96695","dofenapyn"
"ACT12_M_96696","fenson"
"ACT12_M_96698","fentrifanil"
"ACT12_M_96700","fluorbenside"
"ACT12_M_96701","genit"
"ACT12_M_96715","hexachlorophene"
"ACT12_M_96731","phenproxide"
"ACT12_M_96732","proclonol"
"ACT12_M_96733","tetradifon"
"ACT12_M_96738","tetrasul"
"ACT12_M_96742","oxime carbamate acaricides"
"ACT12_M_96752","aldicarb"
"ACT12_M_96753","butocarboxim"
"ACT12_M_96781","oxamyl"
"ACT12_M_96793","thiocarboxime"
"ACT12_M_96794","thiofanox"
"ACT12_M_96796","carbazate acaricides"
"ACT12_M_96798","bifenazate"
"ACT12_M_96799","dinitrophenol acaricides"
"ACT12_M_96823","binapacryl"
"ACT12_M_96839","dinex"
"ACT12_M_96840","dinobuton"
"ACT12_M_96882","dinocap"
"ACT12_M_96889","dinocap-4"
"ACT12_M_96891","dinocap-6"
"ACT12_M_96910","dinocton"
"ACT12_M_96913","dinopenton"
"ACT12_M_96915","dinosulfon"
"ACT12_M_96916","dinoterbon"
"ACT12_M_96925","DNOC"
"ACT12_M_96926","formamidine acaricides"
"ACT12_M_96927","amitraz"
"ACT12_M_96928","chlordimeform"
"ACT12_M_96932","chloromebuform"
"ACT12_M_96940","formetanate"
"ACT12_M_96947","formparanate"
"ACT12_M_96986","medimeform"
"ACT12_M_97020","semiamitraz"
"ACT12_M_97022","isoxazoline acaricides"
"ACT12_M_97026","afoxolaner"
"ACT12_M_97028","esafoxolaner"
"ACT12_M_97030","fluralaner"
"ACT12_M_97047","lotilaner"
"ACT12_M_97122","sarolaner"
"ACT12_M_97125","tigolaner"
"ACT12_M_97208","macrocyclic lactone acaricides"
"ACT12_M_97209","tetranactin"
"ACT12_M_97235","avermectin acaricides"
"ACT12_M_97237","abamectin"
"ACT12_M_97242","doramectin"
"ACT12_M_97243","eprinomectin"
"ACT12_M_97244","ivermectin"
"ACT12_M_97249","selamectin"
"ACT12_M_97250","milbemycin acaricides"
"ACT12_M_97251","milbemectin"
"ACT12_M_97252","milbemycin oxime"
"ACT12_M_97253","moxidectin"
"ACT12_M_97264","mite growth regulators"
"ACT12_M_97275","clofentezine"
"ACT12_M_97277","cyromazine"
"ACT12_M_97279","diflovidazin"
"ACT12_M_97280","dofenapyn"
"ACT12_M_97281","fluazuron"
"ACT12_M_97285","flubenzimine"
"ACT12_M_97287","flucycloxuron"
"ACT12_M_97305","flufenoxuron"
"ACT12_M_97306","hexythiazox"
"ACT12_M_97307","organochlorine acaricides"
"ACT12_M_97309","bromocyclen"
